id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,0,Todos,0.27613319,0.42568629,0.21995505,0.07822548,729.877908,699.7289949,787.61392,,
0,Lectura,3,País,0,Todos,0.32148838,0.23051357,0.31695461,0.13104343,714.174464,661.4621037,790.08097,,
0,Lectura,6,País,0,Todos,0.09695287,0.51600662,0.20964793,0.17739258,725.649508,684.7808138,797.989282,,
0,Matemáticas,3,País,0,Todos,0.47993946,0.27674071,0.19732429,0.04599554,696.4747,647.5841472,769.590219,,
0,Matemáticas,6,País,0,Todos,0.42236128,0.42422074,0.11976773,0.03365024,705.911854,672.2015027,766.844198,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.37757664,0.45061264,0.14666316,0.02514756,699.728995,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.1202567,0.35167774,0.29747329,0.23059227,787.60317,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.5793113,0.21781246,0.17257339,0.03030285,661.462104,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.07096477,0.11421968,0.39783133,0.41698423,790.189752,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.13347041,0.66778882,0.15910117,0.03963961,684.780814,,,20% más bajo de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.0138783,0.26257461,0.26494862,0.45859846,797.804924,,,20% más alto de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.7271386,0.22244978,0.04749325,0.00291837,647.584147,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.14143419,0.28870462,0.39290963,0.17695155,769.590219,,,20% más alto de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.60118631,0.33181646,0.06621482,0.00078241,672.441234,,,20% más bajo de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.17967513,0.47038607,0.20924702,0.14069178,766.844198,,,20% más alto de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.38420348,0.44944605,0.13303196,0.03331851,697.291784,,,20% más bajo de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.05778678,0.32648663,0.35733635,0.25839024,804.812137,,,20% más alto de la muestra,
2.1,Lectura,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.66338503,0.20073789,0.11506229,0.02081479,648.859944,,,20% más bajo de la muestra,
2.1,Lectura,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.04618501,0.09418185,0.42663085,0.43300229,801.000721,,,20% más alto de la muestra,
2.1,Lectura,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.18847365,0.64857043,0.12001128,0.04294464,677.828764,,,20% más bajo de la muestra,
2.1,Lectura,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.00464113,0.19968373,0.27820084,0.5174743,817.13332,,,20% más alto de la muestra,
2.1,Matemáticas,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.80274807,0.16712729,0.0287418,0.00138284,633.147606,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.09780635,0.25280694,0.44227208,0.20711463,786.774732,,,20% más alto de la muestra,
2.1,Matemáticas,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.64880527,0.30471661,0.04257234,0.00390578,660.603869,,,20% más bajo de la muestra,
