id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,,Todos,0.50095379,0.38151349,0.09714366,0.02038906,668.14,655.9966488,742.250727,,
0,Lectura,3,País,,Todos,0.4569942,0.24681427,0.2283891,0.06780243,680.70,662.8823239,760.399352,,
0,Lectura,6,País,,Todos,0.25171419,0.59109115,0.1116397,0.04555497,662.07,641.6728866,754.861616,,
0,Matemáticas,3,País,,Todos,0.55666348,0.24573807,0.15503169,0.04256677,679.78,666.865269,751.57363,,
0,Matemáticas,6,País,,Todos,0.62097622,0.31187606,0.05379464,0.01335307,661.22,662.1552824,729.529476,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.5668463,0.36911129,0.0572531,0.00678931,655.931697,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.2049662,0.48735658,0.21836329,0.08931393,742.486623,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.53845619,0.25693108,0.16939574,0.03521699,662.882324,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.16618984,0.1712188,0.39403857,0.26855278,760.488012,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.33529628,0.5889096,0.06935625,0.00643787,641.73925,,,20% más bajo de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.02176795,0.4792801,0.25720468,0.24174727,754.982173,,,20% más alto de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.63534186,0.19496577,0.11535048,0.05434189,666.916819,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.20848411,0.30110816,0.37811019,0.11229754,751.57363,,,20% más alto de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.66445882,0.26790646,0.04483533,0.02279938,662.155282,,,20% más bajo de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.30954424,0.4702472,0.17093526,0.04927331,729.622234,,,20% más alto de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.57712429,0.35573509,0.05948523,0.00765539,655.304563,,,20% más bajo de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.17100806,0.42250889,0.27471071,0.13177234,757.83012,,,20% más alto de la muestra,
