id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,0,Todos,0.26986734,0.4339431,0.22942043,0.06676912,731.96,690.1729465,796.077413,,
0,Lectura,3,País,0,Todos,0.33050367,0.22704019,0.28292435,0.15953179,718.40,674.613299,787.052056,,
0,Lectura,6,País,0,Todos,0.09593439,0.47971179,0.21445567,0.20989815,734.51,681.839586,806.165927,,
0,Matemáticas,3,País,0,Todos,0.30319938,0.24973554,0.32714483,0.11992025,740.71,698.0924104,797.041298,,
0,Matemáticas,6,País,0,Todos,0.23043277,0.40086858,0.2317016,0.13699705,768.10,717.4874324,830.164091,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.41158157,0.44157136,0.13634841,0.01049866,690.456164,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.05575261,0.36726744,0.37820753,0.19877242,796.077413,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.52965795,0.20887936,0.19218828,0.06927441,674.641909,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.10806078,0.1433396,0.35501762,0.393582,787.052056,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.21338401,0.56878715,0.12991238,0.08791646,681.839586,,,20% más bajo de la muestra,
