id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,0,Todos,0.48940351,0.36093579,0.11992055,0.02974014,674.67,628.6696447,754.360657,,
0,Lectura,3,País,0,Todos,0.48915621,0.23335411,0.21480244,0.06268723,670.25,623.3050948,759.066724,,
0,Lectura,6,País,0,Todos,0.25814569,0.53004645,0.1382671,0.07354075,671.37,611.858859,748.209685,,
0,Matemáticas,3,País,0,Todos,0.60144009,0.23603414,0.14183465,0.02069112,664.09,622.0998226,750.988126,,
0,Matemáticas,6,País,0,Todos,0.67519421,0.28248079,0.03464868,0.00767633,643.88,614.3719201,711.308151,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.74108254,0.20720348,0.045986311,0.00572767,628.177987,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.17412494,0.45014754,0.254114815,0.12161271,754.413645,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.69495408,0.19262439,0.100726118,0.01169541,623.305095,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.11919497,0.20847743,0.426044883,0.24628271,759.326895,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.51265716,0.42914383,0.044478871,0.01372014,611.858859,,,20% más bajo de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.05053698,0.47725004,0.238729784,0.2334832,748.209685,,,20% más alto de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.81042197,0.14474417,0.044833862,0,622.099823,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.19456834,0.28773143,0.425158403,0.09254183,750.988126,,,20% más alto de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.84596206,0.14462864,0.009409303,0,614.37192,,,20% más bajo de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.35825303,0.47999116,0.113525585,0.04823023,711.45086,,,20% más alto de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.7809721,0.18094215,0.032744409,0.00534135,618.521424,,,20% más bajo de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.17304824,0.39737528,0.276120607,0.15345586,764.048812,,,20% más alto de la muestra,
2.1,Lectura,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.7469338,0.15034155,0.083559428,0.01916522,613.946409,,,20% más bajo de la muestra,
2.1,Lectura,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.09706714,0.19891977,0.41861088,0.28540221,770.860802,,,20% más alto de la muestra,
2.1,Lectura,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.57521357,0.36803118,0.04450768,0.01224756,601.46393,,,20% más bajo de la muestra,
2.1,Lectura,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.04747914,0.39270867,0.284964277,0.27484792,760.876748,,,20% más alto de la muestra,
2.1,Matemáticas,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.82450198,0.11033248,0.062728056,0.00243749,616.044369,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.18214621,0.28789769,0.414185616,0.11577049,757.351026,,,20% más alto de la muestra,
2.1,Matemáticas,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 1,0.8627478,0.11813215,0.019120049,0,611.002959,,,20% más bajo de la muestra,
2.1,Matemáticas,6,Escuela: nivel socioeconómico,Índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del Índice NSE TERCE.,Quintil 5,0.30265591,0.45553383,0.186165204,0.05564506,733.233863,,,20% más alto de la muestra,
2.2,Ciencias,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.43505737,0.39204465,0.139357184,0.0335408,691.101042,642.2880156,755.941362,,
2.2,Lectura,3,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.40511824,0.26035595,0.255209675,0.07931613,689.096277,637.7532143,,,
2.2,Lectura,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.20621361,0.5495222,0.162083514,0.08218067,685.167588,625.5884011,750.313284,,
2.2,Matemáticas,3,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.53787605,0.26973637,0.165845733,0.02654185,682.663894,635.345616,,,
2.2,Matemáticas,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.63318896,0.31518118,0.042015976,0.00961388,660.05603,623.4139106,,,
2.2,Ciencias,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",Sí,0.69319794,0.25256229,0.046174189,0.00806558,632.373878,611.1973492,706.696859,,
2.2,Lectura,3,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",Sí,0.71606364,0.15494634,0.116266215,0.01272381,631.146089,612.4156859,,,
2.2,Lectura,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",Sí,0.46906251,0.4506441,0.040235254,0.04005813,622.728247,586.4533442,688.309769,,
2.2,Matemáticas,3,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",Sí,0.77760388,0.15245542,0.067756342,0.00218435,628.82122,605.7017276,,,
2.2,Matemáticas,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",Sí,0.83296967,0.16111037,0.005268552,0.0006514,611.484234,603.9509505,,,
2.2,Ciencias,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",Asiste,0.33619667,0.39613779,0.193999182,0.07366635,718.951953,669.6827625,763.45487,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Lectura,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",Asiste,0.37286656,0.22905483,0.284821744,0.11325686,705.205971,,,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Lectura,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",Asiste,0.12457419,0.51771627,0.215105184,0.14260435,713.866591,638.5936076,,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Matemáticas,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",Asiste,0.47646028,0.26239131,0.209197337,0.05195107,699.192101,,768.498282,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Matemáticas,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",Asiste,0.53974648,0.35872429,0.080172027,0.02135721,679.266105,,720.842339,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Ciencias,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",No asiste,0.4897429,0.37855726,0.109271135,0.0224287,677.094407,626.8483801,744.338674,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Lectura,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",No asiste,0.49168942,0.23715009,0.215468081,0.05569241,670.182348,,,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Lectura,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",No asiste,0.2664058,0.53643289,0.128455455,0.06870586,669.384587,609.8709869,,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Matemáticas,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",No asiste,0.61351849,0.23457758,0.136670502,0.01523343,665.935055,,735.036489,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Matemáticas,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba TERCE en 2013.",No asiste,0.69053281,0.28210236,0.023165429,0.0041994,646.543846,,701.979167,,Elaborado a partir de los cuestionarios de factores asociados de familia TERCE 2013.
2.2,Ciencias,6,Inasistencia mensual,"Indicador de asistencia regular del estudiante, durante un semestre académico al momento de rendir la prueba TERCE 2013.",Mas de una vez,0.53317412,0.37096759,0.08049878,0.01535951,667.019082,,722.407511,,Elaborado a partir de los cuestionarios de factores asociadosde familia TERCE 2013. Se considera inasistencia si ha faltado igual o más de un par de veces por mes.
2.2,Lectura,3,Inasistencia mensual,"Indicador de asistencia regular del estudiante, durante un semestre académico al momento de rendir la prueba TERCE 2013.",Mas de una vez,0.55614715,0.23610179,0.149781013,0.05797005,664.184541,,,,Elaborado a partir de los cuestionarios de factores asociadosde familia TERCE 2013. Se considera inasistencia si ha faltado igual o más de un par de veces por mes.
