id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,0,Todos,0.38092133,0.41958845,0.15119827,0.04829195,700.62,647.2466344,756.284719,,
0,Lectura,3,País,0,Todos,0.32358794,0.20966929,0.310637,0.15610577,719.32,667.3039275,782.163127,,
0,Lectura,6,País,0,Todos,0.18395662,0.50291528,0.17821377,0.13491433,703.05,628.258912,772.902391,,
0,Matemáticas,3,País,0,Todos,0.39588392,0.25109357,0.26400216,0.08902035,716.19,664.1775073,778.445793,,
0,Matemáticas,6,País,0,Todos,0.37735076,0.39622759,0.15482317,0.07159848,721.12,656.6823574,781.105203,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.63028705,0.3055665,0.06094454,0.0032019,647.344372,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.17421056,0.42710425,0.27060307,0.12808212,756.284719,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.54055658,0.22772326,0.18253347,0.0491867,667.150255,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.10756242,0.1545543,0.36614014,0.37174314,782.174719,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.43672339,0.48525431,0.05873978,0.01928252,628.260333,,,20% más bajo de la muestra,
