id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,0,Todos,0.32841788,0.37976873,0.19553712,0.09627627,722.536252,668.856909,777.6098368,,
0,Lectura,3,País,0,Todos,0.2855553,0.23283748,0.31455237,0.16705485,724.388385,676.0959659,768.4217408,,
0,Lectura,6,País,0,Todos,0.11291613,0.45214757,0.21399012,0.22094619,732.572027,683.8328124,793.7503403,,
0,Matemáticas,3,País,0,Todos,0.31922488,0.22772523,0.3166599,0.13638999,737.411063,680.9620091,796.0497665,,
0,Matemáticas,6,País,0,Todos,0.26093952,0.36450675,0.24290599,0.13164774,758.132154,708.2243173,813.4360815,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.52707024,0.36926821,0.08258741,0.02107414,668.856909,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.14692296,0.36031719,0.32078884,0.171971,777.609837,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.49734189,0.25593624,0.20880998,0.03791189,675.91942,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.11358938,0.19576282,0.39182184,0.29882595,768.415276,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.17882503,0.59858834,0.14922125,0.07336538,683.832812,,,20% más bajo de la muestra,
