id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,,Todos,0.40071181,0.38844058,0.15306127,0.05778634,700.37,665.840048,734.625828,,
0,Lectura,3,País,,Todos,0.38463263,0.22681956,0.26673862,0.12180918,702.67,679.089455,747.730954,,
0,Lectura,6,País,,Todos,0.16744804,0.50727749,0.17410034,0.15117413,707.28,669.81886,745.526374,,
0,Matemáticas,3,País,,Todos,0.38996297,0.26335743,0.26560712,0.08107248,717.24,688.413537,754.021608,,
0,Matemáticas,6,País,,Todos,0.36845105,0.42455525,0.15941946,0.04757423,721.52,681.653201,752.93646,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.55728471,0.33526989,0.08371278,0.02373262,665.3356681,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.21948756,0.48884529,0.21558057,0.07608658,734.471214,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.51215258,0.19865382,0.2167329,0.0724607,679.0894551,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.20395348,0.18861559,0.38766406,0.21976686,747.7309539,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.26577206,0.55593153,0.09572308,0.08257333,669.7931022,,,20% más bajo de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.09185613,0.40965522,0.2530831,0.24540555,745.544952,,,20% más alto de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.47615012,0.28745331,0.19550135,0.04089523,688.8835165,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.22636078,0.26737932,0.38802698,0.11823291,754.0216076,,,20% más alto de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.54068385,0.34824091,0.09657735,0.0144979,681.653201,,,20% más bajo de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.21158195,0.45513831,0.25688415,0.07639559,752.7493167,,,20% más alto de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 1,0.60903154,0.33178325,0.04297393,0.01621128,650.7954749,,,20% más bajo de la muestra,
2.1,Ciencias,6,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 5,0.1897078,0.45193063,0.25475172,0.10360985,745.9543034,,,20% más alto de la muestra,
2.1,Lectura,3,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 1,0.5346673,0.21502467,0.17934194,0.07096608,670.9145988,,,20% más bajo de la muestra,
2.1,Lectura,3,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 5,0.135961,0.20385614,0.39789919,0.26228367,761.88565,,,20% más alto de la muestra,
2.1,Lectura,6,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 1,0.33070606,0.56703455,0.07154123,0.03071816,642.2905729,,,20% más bajo de la muestra,
2.1,Lectura,6,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 5,0.0720237,0.38871386,0.2592148,0.28004763,753.7314497,,,20% más alto de la muestra,
2.1,Matemáticas,3,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 1,0.53484145,0.24007686,0.17743826,0.04764343,683.914772,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 5,0.15423405,0.22481191,0.43760711,0.18334692,774.401879,,,20% más alto de la muestra,
2.1,Matemáticas,6,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 1,0.58444737,0.32643099,0.0828832,0.00623844,668.6200507,,,20% más bajo de la muestra,
2.1,Matemáticas,6,Escuela: nivel socioeconómico,índice de medición del grado de concentración de estudiantes de un nivel socioeconómico similar en una misma escuela. Elaborado a partir del índice NSE TERCE.,Quintil 5,0.19329025,0.4304512,0.27195206,0.10430649,764.4976221,,,20% más alto de la muestra,
2.2,Ciencias,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.33575286,0.4125274,0.1833015,0.06841824,713.1515485,677.251786,737.517589,,
2.2,Lectura,3,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.29623184,0.2311727,0.31410433,0.15849113,721.3969805,696.024529,754.304282,,
2.2,Lectura,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.12033223,0.49759302,0.20297988,0.17909487,722.0770784,694.642236,751.167999,,
2.2,Matemáticas,3,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.3078353,0.27103653,0.31786196,0.10326621,733.0932093,712.245182,759.485552,,
2.2,Matemáticas,6,Repetición de grado,"Indicador de repitencia de grado del estudiante, durante la trayectoria en educación primaria al momento de rendir la prueba TERCE 2013.",No,0.30577286,0.4496229,0.18668866,0.05791558,731.5477141,692.563358,756.354556,,
