pais,tema,tema_descripcion,materia,grado,parametro,porcentaje
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.259
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.741
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.297
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.703
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.259
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.741
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.275
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.725
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.252
ar,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.748
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.658
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.342
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.447
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.553
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.699
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.301
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.447
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.553
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.573
br,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.427
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.73
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.27
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.718
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.282
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.765
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.235
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.669
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.331
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.763
cl,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.237
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.648
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.352
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.65
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.35
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.727
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.273
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.612
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.388
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.636
co,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.364
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.797
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.203
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.777
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.223
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.799
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.201
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.771
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.229
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.805
cr,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.195
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.431
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.569
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.25
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.75
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.38
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.62
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.262
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.738
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.419
ec,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.581
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.066
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.934
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.022
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.978
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.058
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.942
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.022
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.978
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.049
gt,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.951
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.419
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.581
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.326
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.674
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.435
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.565
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.317
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.683
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.413
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.587
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.729
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.271
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.646
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.354
