id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,0,Todos,0.38498908,0.41521337,0.15760028,0.04219727,710.85,667.1742834,752.688075,,
0,Lectura,3,País,0,Todos,0.38064139,0.24337101,0.2761766,0.099811,698.49,665.0925919,763.456026,,
0,Lectura,6,País,0,Todos,0.20767083,0.55563925,0.13355001,0.10313992,682.69,628.1343776,760.049191,,
0,Matemáticas,3,País,0,Todos,0.47842332,0.26764579,0.20872417,0.04520672,702.69,670.6272757,740.028973,,
0,Matemáticas,6,País,0,Todos,0.4481331,0.41113773,0.10997018,0.03075899,702.34,662.7041855,751.649746,,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.5369026,0.37993408,0.06866957,0.01449375,667.312733,,,20% más bajo de la muestra,
2.1,Ciencias,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.1829328,0.43575967,0.27168575,0.10962178,752.823787,,,20% más alto de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.53429624,0.23794895,0.19036054,0.03739427,664.970027,,,20% más bajo de la muestra,
2.1,Lectura,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.13160264,0.18962032,0.41177007,0.26700697,763.446891,,,20% más alto de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.39814961,0.53592464,0.04225129,0.02367445,628.21813,,,20% más bajo de la muestra,
2.1,Lectura,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.04038508,0.43240682,0.24969643,0.27751167,760.069192,,,20% más alto de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.64522241,0.18958056,0.12539936,0.03979767,670.627276,,,20% más bajo de la muestra,
2.1,Matemáticas,3,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 5,0.2420368,0.33556707,0.34056665,0.08182948,740.109528,,,20% más alto de la muestra,
2.1,Matemáticas,6,Familia: nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda.",Quintil 1,0.64527041,0.30425571,0.04358381,0.00689007,662.791909,,,20% más bajo de la muestra,
